project_country_id,year,season_start_date,season_end_date,growing_season_precipitation_mm,days_observed
BWA,2018,2017-10-01,2018-04-30,384.7310405174794,212
BWA,2019,2018-10-01,2019-04-30,240.63612813053624,212
BWA,2020,2019-10-01,2020-04-30,357.9754687924724,213
BWA,2021,2020-10-01,2021-04-30,671.6560820251907,212
BWA,2022,2021-10-01,2022-04-30,436.25864722266124,212
LSO,2018,2017-10-01,2018-04-30,722.2330218077404,212
LSO,2019,2018-10-01,2019-04-30,607.1860018165316,212
LSO,2020,2019-10-01,2020-04-30,595.5403050689492,213
LSO,2021,2020-10-01,2021-04-30,624.0470237927511,212
LSO,2022,2021-10-01,2022-04-30,712.0878027767176,212
MOZ,2018,2017-10-01,2018-04-30,939.1437463187176,212
MOZ,2019,2018-10-01,2019-04-30,1055.3027255062188,212
MOZ,2020,2019-10-01,2020-04-30,794.4285101412679,213
MOZ,2021,2020-10-01,2021-04-30,992.5238019940443,212
MOZ,2022,2021-10-01,2022-04-30,908.3479063918203,212
MWI,2018,2017-10-01,2018-04-30,1039.2129020278808,212
MWI,2019,2018-10-01,2019-04-30,1321.1840250527603,212
MWI,2020,2019-10-01,2020-04-30,971.9526459435001,213
MWI,2021,2020-10-01,2021-04-30,1216.9468544267584,212
MWI,2022,2021-10-01,2022-04-30,1224.708893502131,212
NAM,2018,2017-10-01,2018-04-30,195.0984417044383,212
NAM,2019,2018-10-01,2019-04-30,102.06378039208357,212
NAM,2020,2019-10-01,2020-04-30,208.736786836409,213
NAM,2021,2020-10-01,2021-04-30,283.2682686087501,212
NAM,2022,2021-10-01,2022-04-30,243.71965353400446,212
SWZ,2018,2017-10-01,2018-04-30,680.5968512026593,212
SWZ,2019,2018-10-01,2019-04-30,769.2900881600799,212
SWZ,2020,2019-10-01,2020-04-30,704.2060732683167,213
SWZ,2021,2020-10-01,2021-04-30,939.700558542856,212
SWZ,2022,2021-10-01,2022-04-30,818.861245096894,212
ZAF,2018,2017-10-01,2018-04-30,388.2347194462491,212
ZAF,2019,2018-10-01,2019-04-30,332.6982963275368,212
ZAF,2020,2019-10-01,2020-04-30,366.95010392834956,213
ZAF,2021,2020-10-01,2021-04-30,458.66240493918303,212
ZAF,2022,2021-10-01,2022-04-30,481.8877517609217,212
ZMB,2018,2017-10-01,2018-04-30,1087.5341241554415,212
ZMB,2019,2018-10-01,2019-04-30,872.3478715246601,212
ZMB,2020,2019-10-01,2020-04-30,964.9366921987385,213
ZMB,2021,2020-10-01,2021-04-30,1038.7988680760027,212
ZMB,2022,2021-10-01,2022-04-30,993.0357939049136,212
ZWE,2018,2017-10-01,2018-04-30,711.7715682988346,212
ZWE,2019,2018-10-01,2019-04-30,463.9646755381182,212
ZWE,2020,2019-10-01,2020-04-30,540.7384966774844,213
ZWE,2021,2020-10-01,2021-04-30,749.6447031925927,212
ZWE,2022,2021-10-01,2022-04-30,589.7740742810674,212
