area,item,element,year,unit,value,flag
Botswana,Maize (corn),Area harvested,1990,ha,40700,A
Botswana,Maize (corn),Production,1990,t,11800,A
Botswana,Maize (corn),Yield,1990,kg/ha,289.9,A
Botswana,Maize (corn),Area harvested,1991,ha,36600,A
Botswana,Maize (corn),Production,1991,t,14500,A
Botswana,Maize (corn),Yield,1991,kg/ha,396.2,A
Botswana,Maize (corn),Area harvested,1992,ha,15800,A
Botswana,Maize (corn),Production,1992,t,3000,A
Botswana,Maize (corn),Yield,1992,kg/ha,189.9,A
Botswana,Maize (corn),Area harvested,1993,ha,22000,A
Botswana,Maize (corn),Production,1993,t,2976,A
Botswana,Maize (corn),Yield,1993,kg/ha,135.3,A
Botswana,Maize (corn),Area harvested,1994,ha,63600,A
Botswana,Maize (corn),Production,1994,t,10800,A
Botswana,Maize (corn),Yield,1994,kg/ha,169.8,A
Botswana,Maize (corn),Area harvested,1995,ha,20000,A
Botswana,Maize (corn),Production,1995,t,18953,A
Botswana,Maize (corn),Yield,1995,kg/ha,947.6,A
Botswana,Maize (corn),Area harvested,1996,ha,100000,A
Botswana,Maize (corn),Production,1996,t,24629,A
Botswana,Maize (corn),Yield,1996,kg/ha,246.3,A
Botswana,Maize (corn),Area harvested,1997,ha,79000,A
Botswana,Maize (corn),Production,1997,t,22649,A
Botswana,Maize (corn),Yield,1997,kg/ha,286.7,A
Botswana,Maize (corn),Area harvested,1998,ha,25756,A
Botswana,Maize (corn),Production,1998,t,2344,A
Botswana,Maize (corn),Yield,1998,kg/ha,91,A
Botswana,Maize (corn),Area harvested,1999,ha,34171,A
Botswana,Maize (corn),Production,1999,t,3796,A
Botswana,Maize (corn),Yield,1999,kg/ha,111.1,A
Botswana,Maize (corn),Area harvested,2000,ha,83258,A
Botswana,Maize (corn),Production,2000,t,9347,A
Botswana,Maize (corn),Yield,2000,kg/ha,112.3,A
Botswana,Maize (corn),Area harvested,2001,ha,24977,A
Botswana,Maize (corn),Production,2001,t,4976,A
Botswana,Maize (corn),Yield,2001,kg/ha,199.2,A
Botswana,Maize (corn),Area harvested,2002,ha,55803,A
Botswana,Maize (corn),Production,2002,t,16447,A
Botswana,Maize (corn),Yield,2002,kg/ha,294.7,A
Botswana,Maize (corn),Area harvested,2003,ha,7617,A
Botswana,Maize (corn),Production,2003,t,1633,A
Botswana,Maize (corn),Yield,2003,kg/ha,214.4,A
Botswana,Maize (corn),Area harvested,2004,ha,43208,A
Botswana,Maize (corn),Production,2004,t,7529,A
Botswana,Maize (corn),Yield,2004,kg/ha,174.3,A
Botswana,Maize (corn),Area harvested,2005,ha,70000,X
Botswana,Maize (corn),Production,2005,t,16080,X
Botswana,Maize (corn),Yield,2005,kg/ha,229.7,X
Botswana,Maize (corn),Area harvested,2006,ha,60373,A
Botswana,Maize (corn),Production,2006,t,15162,A
Botswana,Maize (corn),Yield,2006,kg/ha,251.1,A
Botswana,Maize (corn),Area harvested,2007,ha,17705,A
Botswana,Maize (corn),Production,2007,t,2158,A
Botswana,Maize (corn),Yield,2007,kg/ha,121.9,A
Botswana,Maize (corn),Area harvested,2008,ha,48633,A
Botswana,Maize (corn),Production,2008,t,8967,A
Botswana,Maize (corn),Yield,2008,kg/ha,184.4,A
Botswana,Maize (corn),Area harvested,2009,ha,82710,A
Botswana,Maize (corn),Production,2009,t,20093,A
Botswana,Maize (corn),Yield,2009,kg/ha,242.9,A
Botswana,Maize (corn),Area harvested,2010,ha,65388,A
Botswana,Maize (corn),Production,2010,t,10572,A
Botswana,Maize (corn),Yield,2010,kg/ha,161.7,A
Botswana,Maize (corn),Area harvested,2011,ha,101425,A
Botswana,Maize (corn),Production,2011,t,35222,A
Botswana,Maize (corn),Yield,2011,kg/ha,347.3,A
Botswana,Maize (corn),Area harvested,2012,ha,56051,A
Botswana,Maize (corn),Production,2012,t,7677,A
Botswana,Maize (corn),Yield,2012,kg/ha,137,A
Botswana,Maize (corn),Area harvested,2013,ha,45267,A
Botswana,Maize (corn),Production,2013,t,3844,A
Botswana,Maize (corn),Yield,2013,kg/ha,84.9,A
Botswana,Maize (corn),Area harvested,2014,ha,104197,A
Botswana,Maize (corn),Production,2014,t,28550,A
Botswana,Maize (corn),Yield,2014,kg/ha,274,A
Botswana,Maize (corn),Area harvested,2015,ha,14857,A
Botswana,Maize (corn),Production,2015,t,3792,A
Botswana,Maize (corn),Yield,2015,kg/ha,255.2,A
Botswana,Maize (corn),Area harvested,2016,ha,60320,I
Botswana,Maize (corn),Production,2016,t,15095.45,I
Botswana,Maize (corn),Yield,2016,kg/ha,250.3,E
Botswana,Maize (corn),Area harvested,2017,ha,51030,A
Botswana,Maize (corn),Production,2017,t,12265,A
Botswana,Maize (corn),Yield,2017,kg/ha,240.3,A
Botswana,Maize (corn),Area harvested,2018,ha,76608,A
Botswana,Maize (corn),Production,2018,t,24633.18,A
Botswana,Maize (corn),Yield,2018,kg/ha,321.5,A
Botswana,Maize (corn),Area harvested,2019,ha,35862,A
Botswana,Maize (corn),Production,2019,t,7277.64,A
Botswana,Maize (corn),Yield,2019,kg/ha,202.9,A
Botswana,Maize (corn),Area harvested,2020,ha,92872,A
Botswana,Maize (corn),Production,2020,t,61946.57,A
Botswana,Maize (corn),Yield,2020,kg/ha,667,A
Botswana,Maize (corn),Area harvested,2021,ha,84503,A
Botswana,Maize (corn),Production,2021,t,67436.11,A
Botswana,Maize (corn),Yield,2021,kg/ha,798,A
Botswana,Maize (corn),Area harvested,2022,ha,67932,A
Botswana,Maize (corn),Production,2022,t,29782.35,A
Botswana,Maize (corn),Yield,2022,kg/ha,438.4,A
Eswatini,Maize (corn),Area harvested,1990,ha,84040,A
Eswatini,Maize (corn),Production,1990,t,104232,A
Eswatini,Maize (corn),Yield,1990,kg/ha,1240.3,A
Eswatini,Maize (corn),Area harvested,1991,ha,58663,A
Eswatini,Maize (corn),Production,1991,t,59279,A
Eswatini,Maize (corn),Yield,1991,kg/ha,1010.5,A
Eswatini,Maize (corn),Area harvested,1992,ha,60233,A
Eswatini,Maize (corn),Production,1992,t,92971,A
Eswatini,Maize (corn),Yield,1992,kg/ha,1543.5,A
Eswatini,Maize (corn),Area harvested,1993,ha,60801,A
Eswatini,Maize (corn),Production,1993,t,83815,A
Eswatini,Maize (corn),Yield,1993,kg/ha,1378.5,A
Eswatini,Maize (corn),Area harvested,1994,ha,65699,A
Eswatini,Maize (corn),Production,1994,t,83657,A
Eswatini,Maize (corn),Yield,1994,kg/ha,1273.3,A
Eswatini,Maize (corn),Area harvested,1995,ha,67614,A
Eswatini,Maize (corn),Production,1995,t,149190,A
Eswatini,Maize (corn),Yield,1995,kg/ha,2206.5,A
Eswatini,Maize (corn),Area harvested,1996,ha,66996,A
Eswatini,Maize (corn),Production,1996,t,119028,A
Eswatini,Maize (corn),Yield,1996,kg/ha,1776.6,A
Eswatini,Maize (corn),Area harvested,1997,ha,71664,A
Eswatini,Maize (corn),Production,1997,t,137726,A
