project_country_id,project_country_name,reference_latitude,reference_longitude,modis_date,calendar_date,year,tile,processing_timestamp,npp_raw,npp_qc_percent
BWA,Botswana,-22.5,24,A2018001,2018-01-01,2018,h20v11,2021364003537,1998,7
BWA,Botswana,-22.5,24,A2019001,2019-01-01,2019,h20v11,2021001045448,1739,14
BWA,Botswana,-22.5,24,A2020001,2020-01-01,2020,h20v11,2021015033243,2666,4
BWA,Botswana,-22.5,24,A2021001,2021-01-01,2021,h20v11,2022020140857,5480,11
BWA,Botswana,-22.5,24,A2022001,2022-01-01,2022,h20v11,2023035051843,2894,7
LSO,Lesotho,-29.5,28.5,A2018001,2018-01-01,2018,h20v11,2021364003537,3920,9
LSO,Lesotho,-29.5,28.5,A2019001,2019-01-01,2019,h20v11,2021001045448,3193,7
LSO,Lesotho,-29.5,28.5,A2020001,2020-01-01,2020,h20v11,2021015033243,5155,5
LSO,Lesotho,-29.5,28.5,A2021001,2021-01-01,2021,h20v11,2022020140857,5700,16
LSO,Lesotho,-29.5,28.5,A2022001,2022-01-01,2022,h20v11,2023035051843,6041,16
MOZ,Mozambique,-18.5,35,A2018001,2018-01-01,2018,h21v10,2021364003529,8518,18
MOZ,Mozambique,-18.5,35,A2019001,2019-01-01,2019,h21v10,2021001050200,10363,19
MOZ,Mozambique,-18.5,35,A2020001,2020-01-01,2020,h21v10,2021015033242,6590,18
MOZ,Mozambique,-18.5,35,A2021001,2021-01-01,2021,h21v10,2022020140641,8413,18
MOZ,Mozambique,-18.5,35,A2022001,2022-01-01,2022,h21v10,2023035051537,8525,35
MWI,Malawi,-13.5,34,A2018001,2018-01-01,2018,h21v10,2021364003529,10687,27
MWI,Malawi,-13.5,34,A2019001,2019-01-01,2019,h21v10,2021001050200,10465,22
MWI,Malawi,-13.5,34,A2020001,2020-01-01,2020,h21v10,2021015033242,10378,28
MWI,Malawi,-13.5,34,A2021001,2021-01-01,2021,h21v10,2022020140641,9865,22
MWI,Malawi,-13.5,34,A2022001,2022-01-01,2022,h21v10,2023035051537,8931,41
NAM,Namibia,-22,17,A2018001,2018-01-01,2018,h19v11,2021364004209,1259,5
NAM,Namibia,-22,17,A2019001,2019-01-01,2019,h19v11,2021001045108,954,0
NAM,Namibia,-22,17,A2020001,2020-01-01,2020,h19v11,2021015033256,2191,5
NAM,Namibia,-22,17,A2021001,2021-01-01,2021,h19v11,2022020140832,3409,3
NAM,Namibia,-22,17,A2022001,2022-01-01,2022,h19v11,2023035051836,2032,5
SWZ,Eswatini,-26.5,31.5,A2018001,2018-01-01,2018,h20v11,2021364003537,10326,19
SWZ,Eswatini,-26.5,31.5,A2019001,2019-01-01,2019,h20v11,2021001045448,9572,19
SWZ,Eswatini,-26.5,31.5,A2020001,2020-01-01,2020,h20v11,2021015033243,9580,14
SWZ,Eswatini,-26.5,31.5,A2021001,2021-01-01,2021,h20v11,2022020140857,9994,7
SWZ,Eswatini,-26.5,31.5,A2022001,2022-01-01,2022,h20v11,2023035051843,11420,7
ZAF,South Africa,-30,25,A2018001,2018-01-01,2018,h20v12,2021364003522,2613,14
ZAF,South Africa,-30,25,A2019001,2019-01-01,2019,h20v12,2021001044736,2248,11
ZAF,South Africa,-30,25,A2020001,2020-01-01,2020,h20v12,2021015033217,2936,11
ZAF,South Africa,-30,25,A2021001,2021-01-01,2021,h20v12,2022020140913,3215,18
ZAF,South Africa,-30,25,A2022001,2022-01-01,2022,h20v12,2023035051826,3623,25
ZMB,Zambia,-13.5,27.8,A2018001,2018-01-01,2018,h20v10,2021364004224,10624,14
ZMB,Zambia,-13.5,27.8,A2019001,2019-01-01,2019,h20v10,2021001045509,11273,19
ZMB,Zambia,-13.5,27.8,A2020001,2020-01-01,2020,h20v10,2021015033244,11030,28
ZMB,Zambia,-13.5,27.8,A2021001,2021-01-01,2021,h20v10,2022020141140,10041,16
ZMB,Zambia,-13.5,27.8,A2022001,2022-01-01,2022,h20v10,2023035051851,12285,18
ZWE,Zimbabwe,-19,29.5,A2018001,2018-01-01,2018,h20v10,2021364004224,9309,15
ZWE,Zimbabwe,-19,29.5,A2019001,2019-01-01,2019,h20v10,2021001045509,8416,5
ZWE,Zimbabwe,-19,29.5,A2020001,2020-01-01,2020,h20v10,2021015033244,9806,11
ZWE,Zimbabwe,-19,29.5,A2021001,2021-01-01,2021,h20v10,2022020141140,11770,18
ZWE,Zimbabwe,-19,29.5,A2022001,2022-01-01,2022,h20v10,2023035051851,11210,11
