area,item,element,year,unit,value,flag,note
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2001,%,4.12,E,Budgetary Central Government
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2002,%,4.12,E,Budgetary Central Government
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2003,%,3.92,E,Budgetary Central Government
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2004,%,3.09,E,Budgetary Central Government
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2005,%,4.49,E,Budgetary Central Government
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2006,%,3.61,E,Budgetary Central Government
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2007,%,3.37,E,Budgetary Central Government
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2008,%,4.26,E,Budgetary Central Government
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2009,%,3,E,Budgetary Central Government
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2010,%,2.88,E,Budgetary Central Government
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2011,%,3.17,E,Budgetary Central Government
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2012,%,3.05,E,Budgetary Central Government
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2013,%,4.19,E,Budgetary Central Government
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2014,%,4.15,E,Budgetary Central Government
Botswana,SDG 2.a.1: highest government level,SDG 2.a.1: Agriculture share of Government Expenditure,2015,%,5.07,E,Budgetary Central Government
