variable,label,definition,type,unit,source,notes
project_country_id,Project country identifier,Stable ISO 3166-1 alpha-3 identifier used to integrate project sources,character,,metadata/country-crosswalk.csv,Reviewed integration key.
project_country_name,Project country name,Readable project label for the country,character,,metadata/country-crosswalk.csv,Display label; joins use project_country_id.
country,FAOSTAT country label,Area label retained from the prepared FAOSTAT input,character,,FAOSTAT QCL,Retained for lineage and crosswalk review.
year,Season and yield year,FAOSTAT calendar year joined to the CHIRPS season ending in that year,integer,year,FAOSTAT and derived CHIRPS season,The temporal alignment is an explicit teaching assumption.
yield_tonnes_per_hectare,Maize yield,FAOSTAT maize yield converted from kilograms per hectare,double,t/ha,FAOSTAT QCL,Divide provider kg/ha by 1000.
production_tonnes,Maize production,Reported annual maize production,double,t,FAOSTAT QCL,Country-level annual measure.
harvested_area_hectares,Maize harvested area,Reported annual maize harvested area,double,ha,FAOSTAT QCL,Country-level annual measure.
log_yield,Log maize yield,Natural logarithm of positive maize yield,double,log(t/ha),Derived from FAOSTAT,Missing when yield is missing or non-positive.
growing_season_precipitation_mm,Growing-season precipitation,Sum of country-area mean daily CHIRPS precipitation from October through April,double,mm,CHIRPS v2 via ClimateSERV,Not weighted to maize-growing areas.
season_start_date,Season start date,First date represented in the precipitation total,date,ISO 8601 date,Derived CHIRPS season,1 October of the preceding year.
season_end_date,Season end date,Last date represented in the precipitation total,date,ISO 8601 date,Derived CHIRPS season,30 April of the yield year.
precipitation_days_observed,Precipitation days observed,Number of daily country summaries used in the total,integer,days,ClimateSERV response,Completeness field retained through integration.
