variable,label,definition,type,unit,role,allowed_values,missing_values,source,notes
project_country_id,Project country identifier,Stable ISO 3166-1 alpha-3 identifier used to integrate project sources,character,,identifier,BWA; SWZ; LSO; MWI; MOZ; NAM; ZAF; ZMB; ZWE,blank values are not expected,metadata/project-country-crosswalk.csv,Reviewed integration key.
project_country_name,Project country name,Readable project label for the country,character,,label,Botswana; Eswatini; Lesotho; Malawi; Mozambique; Namibia; South Africa; Zambia; Zimbabwe,blank values are not expected,metadata/project-country-crosswalk.csv,Display label; joins use project_country_id.
country,FAOSTAT country label,Area label retained from the prepared FAOSTAT input,character,,label,Botswana; Eswatini; Lesotho; Malawi; Mozambique; Namibia; South Africa; Zambia; Zimbabwe,blank values are not expected,FAOSTAT QCL,Retained for lineage and crosswalk review.
year,Season and yield year,FAOSTAT calendar year joined to the CHIRPS season ending in that year,integer,year,time,1990-2022,blank values are not expected,FAOSTAT and derived CHIRPS season,The temporal alignment is an explicit teaching assumption.
yield_tonnes_per_hectare,Maize yield,FAOSTAT maize yield converted from kilograms per hectare,double,t/ha,measure,non-negative numeric values,blank represents missing or unavailable yield,FAOSTAT QCL,Divide provider kg/ha by 1000.
production_tonnes,Maize production,Reported annual maize production,double,t,measure,non-negative numeric values,blank represents missing or unavailable production,FAOSTAT QCL,Country-level annual measure.
harvested_area_hectares,Maize harvested area,Reported annual maize harvested area,double,ha,measure,non-negative numeric values,blank represents missing or unavailable area,FAOSTAT QCL,Country-level annual measure.
log_yield,Log maize yield,Natural logarithm of positive maize yield,double,log(t/ha),derived measure,numeric values,blank when yield is missing or non-positive,Derived from FAOSTAT,Do not interpret without the untransformed yield variable.
growing_season_precipitation_mm,Growing-season precipitation,Sum of country-area mean daily CHIRPS precipitation from October through April,double,mm,measure,non-negative numeric values,blank means no matching CHIRPS observation,CHIRPS v2 via ClimateSERV,Not weighted to maize-growing areas.
season_start_date,Season start date,First date represented in the precipitation total,date,ISO 8601 date,time,1990-10-01 through 2021-10-01,blank means no matching CHIRPS observation,Derived CHIRPS season,1 October of the preceding year.
season_end_date,Season end date,Last date represented in the precipitation total,date,ISO 8601 date,time,1991-04-30 through 2022-04-30,blank means no matching CHIRPS observation,Derived CHIRPS season,30 April of the yield year.
precipitation_days_observed,Precipitation days observed,Number of daily country summaries used in the total,integer,days,completeness,212 or 213,blank means no matching CHIRPS observation,ClimateSERV response,Completeness field retained through integration.
